Rubrieknaam	Naamgeving RDD item
TestprocEscNOx	Testprocedure ESC Nox
TestprocEscParticulates	Testprocedure ESC Particulates
TestprocEscNumberOfParticles	Testprocedure ESC number of particles
TestprocEscExponentParticles	Testprocedure ESC exponent particles
TestprocNrscCO	Testprocedure NRSC CO
TestprocNrscHC	Testprocedure NRSC HC
TestprocNrscNOx	Testprocedure NRSC NOx
TestprocNrscNMHC_NOx	Testprocedure NRSC NMHC Nox
TestprocNrscParticulates	Testprocedure NRSC particulates
TestprocNrscNumberOfParticles	Testprocedure NRSC number of particles
TestprocNrscExponentParticles	Testprocedure NRSC exponent particles
TestprocWhscCO	Testprocedure WHSC CO
TestprocWhscTHC	Testprocedure WHSC THC
TestprocWhscNOx	Testprocedure WHSC NOx
TestprocWhscNMHC	Testprocedure WHSC NMHC
TestprocWhscCH4	Testprocedure WHSC CH4
TestprocWhscNH3	Testprocedure WHSC NH3
TestprocWhscParticulates	Testprocedure WHSC Particulates
TestprocWhscNumberOfParticles	Testprocedure WHSC NumberOfParticles
TestprocWhscExponentParticles	Testprocedure WHSC ExponentParticles
TestprocEtcCO	Testprocedure EtcCO
TestprocEtcNOx	Testprocedure EtcNOx
TestprocEtcNMHC	Testprocedure EtcNMHC
TestprocEtcTHC	Testprocedure EtcTHC
TestprocEtcCH4	Testprocedure EtcCH4
TestprocEtcParticulates	Testprocedure EtcParticulates
TestprocEtcNumberOfParticles	Testprocedure EtcNumberOfParticles
TestprocEtcExponentParticles	Testprocedure EtcExponentParticles
TestprocNrtcCO	Testprocedure NrtcCO
TestprocNrtcNOx	Testprocedure NrtcNOx
TestprocNrtcNMHC	Testprocedure NrtcNMHC
TestprocNrtcNMHC_NOx	Testprocedure NrtcNMHC_NOx
TestprocNrtcTHC	Testprocedure NrtcTHC
TestprocNrtcCH4	Testprocedure NrtcCH4
TestprocNrtcParticulates	Testprocedure NrtcParticulates
TestprocNrtcNumberOfParticles	Testprocedure NrtcNumberOfParticles
TestprocNrtcExponentParticles	Testprocedure NrtcExponentParticles
TestprocWhtcCO	Testprocedure WhtcCO
TestprocWhtcNOx	TestprocWhtcNOx
TestprocWhtcNMHC	TestprocWhtcNMHC
TestprocWhtcTHC	TestprocWhtcTHC
TestprocWhtcCH4	TestprocWhtcCH4
TestprocWhtcNH3	TestprocWhtcNH3
TestprocWhtcParticulates	TestprocWhtcParticulates
TestprocWhtcNumberOfParticles	TestprocWhtcNumberOfParticles
TestprocWhtcExponentParticles	TestprocWhtcExponentParticles
TrailerBrakeConnectionsCode	TrailerBrakeConnectionsCode
PressFeedLineTwoLineBraking	PressFeedLineTwoLineBraking
PressFeedLineSingleLineBraking	PressFeedLineSingleLineBraking
MechnicalCouplingType	MechnicalCouplingType
MechnicalCouplingMake	MechnicalCouplingMake
HeightCouplingAboveGroundMax	HeightCouplingAboveGroundMax
HeightCouplingAboveGroundMin	HeightCouplingAboveGroundMin
FifthWheelLead	FifthWheelLead
FifthWheelLeadMinimum	FifthWheelLeadMinimum
FifthWheelLeadMaximum	FifthWheelLeadMaximum
DistFrontVehCentreCouplDev	DistFrontVehCentreCouplDev
DistFrontVehCentreCouplDevMin	DistFrontVehCentreCouplDevMin
DistFrontVehCentreCouplDevMax	DistFrontVehCentreCouplDevMax
DistCentreCouplDevRearVeh	DistCentreCouplDevRearVeh
DistCentreCouplDevRearVehMin	DistCentreCouplDevRearVehMin
DistCentreCouplDevRearVehMax	DistCentreCouplDevRearVehMax
DistAxisFifthWheelForemost	DistAxisFifthWheelForemost
DistAxisFifthWheelForemostMin	DistAxisFifthWheelForemostMin
DistAxisFifthWheelForemostMax	DistAxisFifthWheelForemostMax
TechPermMaxTowMassBrakedTrail	TechPermMaxTowMassBrakedTrail
TechPermMaxTowMassDrawbarTrail	TechPermMaxTowMassDrawbarTrail
TechPermMaxTowMassSemiTrailer	TechPermMaxTowMassSemiTrailer
TechPermMaxTowMassCentAxTrail	TechPermMaxTowMassCentAxTrail
TechPermMaxTowMassUnbrTrailer	TechPermMaxTowMassUnbrTrailer
TechPermMaxTowableMassTrailer	TechPermMaxTowableMassTrailer
TechPermMaxStatVertMassCouplPt	TechPermMaxStatVertMassCouplPt
TechPermMaxStatMassCouplPoint	TechPermMaxStatMassCouplPoint
DistanceCouplPointFirstAxle	DistanceCouplPointFirstAxle
DistanceCouplPointFirstAxleMin	DistanceCouplPointFirstAxleMin
DistanceCouplPointFirstAxleMax	DistanceCouplPointFirstAxleMax
IndependBrakedTowableMass	IndependBrakedTowableMass
InertiaBrakedTowableMass	InertiaBrakedTowableMass
ContinuousBrakedTowableMass	ContinuousBrakedTowableMass
ApprovalNrCouplingDevice	ApprovalNrCouplingDevice
CouplCharTechnPermTrailerMass	CouplCharTechnPermTrailerMass
CouplingDevicesFittedTable	CouplingDevicesFittedTable
CouplingCharacteristicValueD	CouplingCharacteristicValueD
CouplingCharacteristicValueDC	CouplingCharacteristicValueDC
CouplingCharacteristicValueV	CouplingCharacteristicValueV
CouplingCharacteristicValueS	CouplingCharacteristicValueS
CouplingCharacteristicValueU	CouplingCharacteristicValueU
TypeOfCouplingDeviceFitted	TypeOfCouplingDeviceFitted
GeneralCodeOfTheEcoInnovations	GeneralCodeOfTheEcoInnovations
MaxPermMassNatTraffCountryCode	MaxPermMassNatTraffCountryCode
MaxPermLadenMassNational	MaxPermLadenMassNational
MaxPermMassCombinationNational	MaxPermMassCombinationNational
MaxPermMassIntTrafficRegul	MaxPermMassIntTrafficRegul
MaxPermLadenMassInternational	MaxPermLadenMassInternational
MaxPermMassCombinationInt	MaxPermMassCombinationInt
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
